enrollment_id,user_id,course_id,current_status
31,4205,188,inactive
32,4878,453,inactive
33,6312,703,active
34,5028,917,inactive
35,324,498,active
36,4345,305,active
37,5220,511,active
38,1604,629,active
39,9098,38,active
40,351,772,active
41,8225,383,inactive
42,5602,92,inactive
43,887,58,inactive
44,8794,535,active
45,7563,984,active
46,7064,344,inactive
47,5646,1015,active
48,7729,960,inactive
49,1946,500,active
50,1877,270,active
51,7058,955,inactive
52,1656,472,active
53,4598,607,inactive
54,9114,951,inactive
55,8744,448,inactive
56,7017,445,active
57,2118,186,active
58,1615,123,active
59,8259,500,inactive
60,4463,43,active
61,1475,742,inactive
62,6034,585,active
63,5699,209,inactive
64,7262,376,active
65,3241,662,active
66,8515,326,active
67,3468,306,inactive
68,9193,584,inactive
69,6511,153,active
70,6692,69,active
71,4505,976,inactive
72,8384,299,active
73,6426,738,active
74,4235,120,inactive
75,354,834,active
76,4169,1007,active
77,562,514,inactive
78,5567,193,active
79,3036,850,active
80,5853,96,active
81,10006,803,active
82,8183,652,inactive
83,8901,463,active
84,6382,807,inactive
85,1268,117,inactive
86,3910,728,inactive
87,8518,629,inactive
88,3718,836,inactive
89,5892,806,active
90,4913,460,active
91,5751,173,inactive
92,2764,298,active
93,6968,974,inactive
94,1046,736,inactive
95,1740,962,inactive
96,3739,177,active
97,1270,502,active
98,5484,685,inactive
99,6727,759,inactive
100,3204,632,active
101,248,290,inactive
102,1951,92,active
103,347,866,inactive
104,5992,625,active
105,3792,337,active
106,328,775,active
107,3454,712,inactive
108,318,203,active
109,8698,203,inactive
110,4447,385,inactive
111,1634,805,inactive
112,8065,637,inactive
113,2850,991,active
114,2200,385,inactive
115,674,211,inactive
116,3566,405,inactive
117,4452,123,inactive
118,8589,884,active
119,8784,100,inactive
120,3169,284,inactive
121,7029,994,inactive
122,626,545,inactive
123,3443,726,inactive
124,9748,310,inactive
125,1951,749,active
126,3675,49,active
127,3003,253,active
128,120,248,inactive
129,3897,40,inactive
130,3486,689,inactive
131,3714,783,inactive
132,5747,311,active
133,1266,756,inactive
134,8907,781,inactive
135,9004,569,inactive
136,8196,345,inactive
137,291,938,active
138,9227,925,active
139,5150,236,inactive
140,8325,996,active
141,7080,471,active
142,6985,709,inactive
143,1731,283,active
144,7184,511,active
145,4245,537,inactive
146,7775,488,active
147,2800,219,active
148,4693,594,active
149,3367,407,active
150,2745,424,inactive
151,509,214,inactive
152,2602,344,active
153,532,611,inactive
154,1110,507,active
155,8887,232,active
156,3467,235,active
157,2885,229,active
158,6818,926,inactive
159,9327,656,active
160,7579,993,active
161,4546,67,inactive
162,6762,606,inactive
163,8401,747,inactive
164,8855,976,active
165,6879,662,active
166,1849,743,active
167,8294,748,active
168,8217,976,active
169,4172,253,active
170,2068,1000,inactive
171,9268,122,active
172,252,48,inactive
173,4202,69,active
174,1047,910,active
175,7574,950,inactive
176,9724,885,inactive
177,3092,940,inactive
178,8216,472,active
179,7492,522,active
180,2932,34,inactive
181,7758,647,inactive
182,4428,86,inactive
183,9373,584,inactive
184,4917,741,inactive
185,2292,503,active
186,3440,857,active
187,8712,966,inactive
188,4226,958,inactive
189,8656,127,inactive
190,5117,800,active
191,8732,510,inactive
192,9946,445,active
193,3002,659,inactive
194,5164,99,active
195,1322,339,inactive
196,1571,607,active
197,1271,892,active
198,4914,1002,active
199,9881,832,inactive
200,9453,118,active
201,1491,752,active
202,3339,837,inactive
203,7238,562,active
204,4614,803,inactive
205,5362,99,active
206,1978,588,inactive
207,5203,104,active
208,7346,272,inactive
209,9911,567,inactive
210,7586,623,active
211,2951,215,inactive
212,3850,469,inactive
213,7089,357,active
214,6902,604,active
215,5877,683,active
216,9560,1010,active
217,564,437,inactive
218,8296,865,active
219,5933,77,active
220,3747,62,active
221,1425,694,inactive
222,6425,590,active
223,5055,769,active
224,3267,775,active
225,8898,914,active
226,4392,623,active
227,9379,427,inactive
228,424,557,active
229,4733,299,active
230,8295,319,inactive
231,6223,729,active
232,6628,724,active
233,7469,726,active
234,1731,994,inactive
235,731,285,active
236,5658,730,active
237,9197,607,inactive
238,5783,608,inactive
239,2496,951,active
240,2552,531,active
241,86,676,inactive
242,9677,245,active
243,8800,232,inactive
244,7477,662,inactive
245,9465,644,inactive
246,9099,121,active
247,5908,218,active
248,9533,282,inactive
249,3856,828,inactive
250,1028,971,inactive
251,4349,764,active
252,4248,223,inactive
253,3506,403,inactive
254,1619,329,active
255,5335,91,active
256,227,301,active
257,6403,747,inactive
258,6398,644,active
259,2769,423,inactive
260,1070,464,inactive
261,1761,792,inactive
262,1212,382,active
263,7908,637,active
264,4926,65,inactive
265,6023,856,inactive
266,2660,1003,active
267,5599,230,inactive
268,9238,507,inactive
269,2902,452,active
270,8838,569,active
