lesson_id,lesson_name,course_id,duration
31,Basics 17,652,53
32,Advanced 20,231,62
33,Intro 16,399,86
34,Intro 20,134,32
35,Basics 20,502,82
36,Advanced 9,732,56
37,Basics 19,132,58
38,Intro 4,484,48
39,Hands-on 7,691,89
40,Basics 2,80,42
41,Project 10,666,64
42,Assessment Prep 18,369,72
43,Assessment Prep 20,594,50
44,Basics 10,406,24
45,Advanced 14,738,60
46,Assessment Prep 19,1019,27
47,Intro 17,400,67
48,Hands-on 5,940,66
49,Case Study 4,288,57
50,Hands-on 19,760,74
51,Advanced 14,463,24
52,Case Study 4,339,44
53,Hands-on 10,132,21
54,Intro 1,35,33
55,Hands-on 20,588,53
56,Basics 13,58,44
57,Project 6,161,84
58,Assessment Prep 15,36,45
59,Assessment Prep 4,334,88
60,Hands-on 11,503,24
61,Hands-on 3,844,26
62,Hands-on 11,943,86
63,Assessment Prep 3,407,52
64,Hands-on 12,394,72
65,Basics 15,203,67
66,Advanced 1,905,76
67,Advanced 12,296,37
68,Advanced 4,203,85
69,Project 7,935,22
70,Advanced 6,833,56
71,Advanced 4,110,39
72,Hands-on 1,1009,32
73,Hands-on 14,788,66
74,Intro 7,219,47
75,Project 15,260,47
76,Case Study 11,675,21
77,Basics 11,728,70
78,Assessment Prep 19,148,23
79,Hands-on 6,455,81
80,Hands-on 18,605,50
81,Intro 9,593,84
82,Hands-on 16,387,73
83,Basics 17,666,27
84,Project 17,663,62
85,Hands-on 3,659,63
86,Basics 16,272,65
87,Case Study 8,33,88
88,Case Study 15,1001,22
89,Basics 1,1020,63
90,Project 18,439,78
91,Hands-on 18,684,46
92,Basics 15,990,89
93,Case Study 10,118,47
94,Project 19,979,84
95,Basics 15,884,65
96,Intro 10,598,40
97,Case Study 16,615,56
98,Assessment Prep 8,699,31
99,Case Study 7,45,86
100,Hands-on 8,132,65
101,Advanced 13,932,51
102,Case Study 7,686,49
103,Hands-on 17,635,64
104,Basics 5,295,52
105,Advanced 8,294,36
106,Project 9,421,41
107,Assessment Prep 1,813,46
108,Basics 20,899,80
109,Assessment Prep 19,162,37
110,Case Study 11,1019,40
111,Intro 2,726,36
112,Assessment Prep 4,132,90
113,Case Study 16,840,62
114,Basics 5,152,21
115,Basics 20,132,82
116,Advanced 4,164,65
117,Project 15,271,52
118,Assessment Prep 6,778,86
119,Project 16,770,50
120,Project 12,908,84
121,Basics 4,930,59
122,Advanced 1,515,54
123,Case Study 4,870,43
124,Project 7,792,36
125,Advanced 15,932,63
126,Case Study 2,971,82
127,Assessment Prep 9,48,52
128,Intro 8,36,47
129,Assessment Prep 2,914,81
130,Hands-on 12,443,76
131,Case Study 10,999,57
132,Advanced 20,1002,71
133,Hands-on 9,508,28
134,Intro 17,589,88
135,Intro 2,449,25
136,Hands-on 14,580,79
137,Assessment Prep 6,341,61
138,Case Study 8,210,60
139,Hands-on 7,390,35
140,Project 7,689,25
141,Basics 3,229,39
142,Case Study 17,266,81
143,Assessment Prep 13,87,86
144,Assessment Prep 1,105,32
145,Advanced 15,454,56
146,Hands-on 7,162,28
147,Intro 4,262,66
148,Intro 9,943,32
149,Intro 18,751,69
150,Hands-on 10,461,32
151,Intro 11,319,38
152,Hands-on 2,119,29
153,Basics 12,446,36
154,Intro 3,76,43
155,Project 9,308,69
156,Hands-on 8,43,30
157,Project 20,531,70
158,Project 5,447,70
159,Advanced 11,459,56
160,Intro 6,370,83
161,Assessment Prep 6,37,43
162,Advanced 2,915,82
163,Project 10,356,30
164,Case Study 9,214,63
165,Assessment Prep 10,543,61
166,Advanced 6,105,44
167,Advanced 17,327,75
168,Intro 10,650,39
169,Basics 15,787,50
170,Hands-on 11,572,71
171,Intro 6,165,78
172,Assessment Prep 20,578,72
173,Intro 14,688,43
174,Advanced 19,538,40
175,Assessment Prep 2,927,31
176,Assessment Prep 11,42,35
177,Basics 3,614,23
178,Project 2,753,29
179,Case Study 13,736,43
180,Project 1,496,62
181,Basics 4,601,79
182,Project 18,279,83
183,Hands-on 16,825,42
184,Case Study 6,188,41
185,Assessment Prep 19,309,31
186,Assessment Prep 6,793,88
187,Project 14,591,31
188,Assessment Prep 13,765,22
189,Advanced 2,454,50
190,Advanced 20,946,68
191,Basics 10,718,90
192,Intro 18,118,27
193,Case Study 4,321,86
194,Assessment Prep 8,882,36
195,Hands-on 10,84,69
196,Hands-on 17,269,50
197,Hands-on 3,955,26
198,Basics 1,116,22
199,Advanced 3,101,68
200,Intro 15,1019,90
201,Assessment Prep 12,103,30
202,Intro 8,468,21
203,Hands-on 9,632,21
204,Assessment Prep 8,434,30
205,Advanced 15,659,32
206,Advanced 16,590,88
207,Hands-on 9,500,83
