activity_id,user_id,lesson_id,activity_time
31,7656,1925,2024-02-06 17:34:00
32,1938,2960,2024-08-26 11:31:00
33,4318,394,2024-03-04 05:40:00
34,952,2220,2024-07-03 10:24:00
35,5366,2029,2024-03-28 13:22:00
36,6270,2357,2024-07-16 14:33:00
37,8939,2421,2024-04-27 10:56:00
38,6673,655,2024-03-20 03:25:00
39,7133,1309,2024-03-13 08:00:00
40,9372,4407,2024-11-10 09:15:00
41,2803,3190,2024-06-11 22:40:00
42,1917,5286,2024-11-01 18:21:00
43,8789,5768,2024-05-25 20:12:00
44,6611,321,2024-11-06 15:00:00
45,8002,1136,2024-10-05 17:13:00
46,3755,3922,2024-02-18 21:05:00
47,6951,2617,2024-04-26 06:24:00
48,7626,4992,2024-12-05 10:22:00
49,9998,494,2024-11-27 04:27:00
50,8723,5830,2024-07-10 21:39:00
51,9542,1578,2024-12-23 02:55:00
52,9147,5713,2024-08-15 07:49:00
53,9223,2313,2024-09-20 23:09:00
54,896,2530,2024-05-21 11:00:00
55,756,2577,2024-08-23 10:16:00
56,9010,1480,2024-09-09 15:52:00
57,3199,2730,2024-01-05 05:28:00
58,1962,341,2024-05-15 12:06:00
59,2162,1293,2024-01-30 00:21:00
60,3961,5814,2024-12-18 10:15:00
61,3165,285,2024-08-19 20:51:00
62,8950,5312,2024-08-04 00:43:00
63,168,373,2024-07-15 12:38:00
64,7630,4080,2024-08-16 19:29:00
65,1390,3130,2024-05-09 03:55:00
66,1479,4212,2024-05-13 01:24:00
67,4398,2799,2024-03-28 00:52:00
68,9510,5653,2024-11-14 21:02:00
69,4353,2066,2024-12-24 17:06:00
70,6270,3724,2024-03-08 17:56:00
71,8759,2867,2024-07-28 11:16:00
72,4537,5297,2024-02-18 03:03:00
73,7376,4584,2024-12-09 06:43:00
74,5167,86,2024-05-09 03:22:00
75,4947,4146,2024-02-24 08:34:00
76,3907,5577,2024-10-12 06:07:00
77,4117,2457,2024-04-10 07:16:00
78,6372,1185,2024-07-28 04:55:00
79,9728,267,2024-01-18 10:17:00
80,7564,2488,2024-12-05 00:11:00
81,1963,746,2024-07-15 14:43:00
